"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","the-internet selenium demo","Hover test","0","0","3","0","0"
"","the-internet selenium demo","Select option test","0","0","1","0","0"
"","Inventory Functionality","Test if inventory is list as low to high","0","0","1","0","0"
"","the-internet selenium demo","Check if all image loaded","1","0","0","0","0"
"","Login Functionality","wrong username and/or password","0","0","4","0","0"
"","Login Functionality","username is empty","0","0","1","0","0"
"","the-internet selenium demo","Slider moving test","0","0","1","0","0"
"","Login Functionality","Successful Login","0","0","3","0","0"
"","Inventory Functionality","Test if all links are valid","1","0","0","0","0"
"","the-internet selenium demo","Check Context Menu","0","0","1","0","0"
"","the-internet selenium demo","add/remove elements: add","0","0","1","0","0"
"","the-internet selenium demo","Drag and Drop test","1","0","0","0","0"
"","Login Functionality","password is empty","0","0","1","0","0"
"","the-internet selenium demo","Check checkbox function","0","0","1","0","0"
"","the-internet selenium demo","add/remove elements: delete","0","0","1","0","0"
